device_time_stamp,system_time_stamp,left_gaze_direction_unit_vector,left_gaze_direction_validity,left_gaze_origin_position_in_hmd_coordinates,left_gaze_origin_validity,left_pupil_diameter,left_pupil_validity,left_pupil_position_in_tracking_area,left_pupil_position_validity,right_gaze_direction_unit_vector,right_gaze_direction_validity,right_gaze_origin_position_in_hmd_coordinates,right_gaze_origin_validity,right_pupil_diameter,right_pupil_validity,right_pupil_position_in_tracking_area,right_pupil_position_validity
876184977,761970027942,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.5058836936950684, 0.6606684327125549)",1,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0
876193307,761970036272,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49418652057647705, 0.628195583820343)",1,"(-0.2362518310546875, -0.4983978271484375, 0.8341217041015625)",1,"(-28.852615356445312, 9.372039794921875, -37.20013427734375)",1,3.9245758056640625,1,"(0.4658554196357727, 0.4039260149002075)",1
876201638,761970044603,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4946709871292114, 0.627168595790863)",1,"(-0.233673095703125, -0.501495361328125, 0.8329925537109375)",1,"(-28.866455078125, 9.510482788085938, -37.739013671875)",1,3.8957672119140625,1,"(0.4659501016139984, 0.4043702185153961)",1
876209970,761970052935,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49434271454811096, 0.6280397176742554)",1,"(-0.246246337890625, -0.334991455078125, 0.909454345703125)",1,"(-28.837554931640625, 9.716781616210938, -41.4541015625)",1,3.78472900390625,1,"(0.4664243459701538, 0.4041588604450226)",1
876218301,761970061266,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4940144419670105, 0.6280552744865417)",1,"(-0.248443603515625, -0.336334228515625, 0.9083709716796875)",1,"(-28.824188232421875, 9.617477416992188, -41.0009765625)",1,3.805206298828125,1,"(0.46622616052627563, 0.40394753217697144)",1
876226633,761970069598,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4939313232898712, 0.6284830570220947)",1,"(-0.2431793212890625, -0.42333984375, 0.872711181640625)",1,"(-28.837677001953125, 9.571624755859375, -39.346221923828125)",1,3.8748016357421875,1,"(0.46608811616897583, 0.4041588604450226)",1
876234964,761970077929,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49384820461273193, 0.628486156463623)",1,"(-0.249725341796875, -0.3418121337890625, 0.905975341796875)",1,"(-28.81195068359375, 9.544708251953125, -40.609161376953125)",1,3.8303375244140625,1,"(0.4659501016139984, 0.40394753217697144)",1
876243296,761970086261,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4938347637653351, 0.6283605694770813)",1,"(-0.2511138916015625, -0.3456573486328125, 0.9041290283203125)",1,"(-28.80389404296875, 9.494720458984375, -40.359649658203125)",1,3.8331146240234375,1,"(0.46584153175354004, 0.4041588604450226)",1
876251628,761970094593,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49382132291793823, 0.6283746361732483)",1,"(-0.244415283203125, -0.4288787841796875, 0.869659423828125)",1,"(-28.823104858398438, 9.533523559570312, -39.069580078125)",1,3.8913116455078125,1,"(0.46573299169540405, 0.40394753217697144)",1
876259959,761970102924,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4937445819377899, 0.6284304261207581)",1,"(-0.2385406494140625, -0.501983642578125, 0.8313140869140625)",1,"(-28.842300415039062, 9.572341918945312, -37.93391418457031)",1,3.9421539306640625,1,"(0.4657793343067169, 0.40393751859664917)",1
