AdjustedTime,CombinedGazeRayWorldDirection,CombinedGazeRayWorldOrigin,CombinedGazeRayWorldValid,GazeData_TimeStamp,LeftGazeDirection,LeftGazeDirectionValid,LeftGazeOrigin,LeftGazeOriginValid,LeftGazeRayWorldDirection,LeftGazeRayWorldOrigin,LeftGazeRayWorldValid,LeftPupilDiameter,LeftPupilDiameterValid,Pose_Position,Pose_Rotation,Pose_Valid,RightGazeDirection,RightGazeDirectionValid,RightGazeOrigin,RightGazeOriginValid,RightGazeRayWorldDirection,RightGazeRayWorldOrigin,RightGazeRayWorldValid,RightPupilDiameter,RightPupilDiameterValid
0.0,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981355417,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.35060000, 407.36230000, 459.87350000)","(-0.11696100, 0.16296240, 0.02132534, 0.97944300)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.00833,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981363747,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.35050000, 407.36110000, 459.87330000)","(-0.11677140, 0.16349420, 0.02309610, 0.97933690)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.016662,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981372079,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.35050000, 407.35990000, 459.87310000)","(-0.11663350, 0.16365270, 0.02462390, 0.97928960)",True,"(0.40673830, 0.45606990, 0.79153440)",True,"(0.02520952, 0.00543463, -0.02781471)",True,"(0.59422520, 0.63440390, 0.49439670)","(431.36510000, 407.35880000, 459.83810000)",True,0.00549258,True
0.024993,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981380410,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.35020000, 407.35830000, 459.87310000)","(-0.11668780, 0.16243800, 0.02525609, 0.97946920)",True,"(0.39396670, 0.28244020, 0.87463380)",True,"(0.02556250, 0.00843210, -0.03854382)",True,"(0.62116180, 0.48605720, 0.61474100)","(431.36160000, 407.35770000, 459.82750000)",True,0.00458363,True
0.033325,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981388742,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34990000, 407.35680000, 459.87300000)","(-0.11674190, 0.16122290, 0.02588830, 0.97964700)",True,"(0.28764340, 0.05233765, 0.95629880)",True,"(0.02629512, 0.01271115, -0.05389609)",True,"(0.56398210, 0.28132390, 0.77638980)","(431.35700000, 407.35670000, 459.81210000)",True,0.00369759,True
0.041656,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981397073,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34970000, 407.35530000, 459.87290000)","(-0.11679570, 0.16000770, 0.02652039, 0.97982290)",True,"(0.17634580, -0.14883420, 0.97300720)",True,"(0.02702772, 0.01699020, -0.06924835)",True,"(0.47943450, 0.08896770, 0.87305630)","(431.35250000, 407.35570000, 459.79670000)",True,0.00306361,True
0.049988,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981405405,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34940000, 407.35370000, 459.87280000)","(-0.11684940, 0.15879200, 0.02715250, 0.97999700)",True,"(0.11302190, -0.25193790, 0.96110530)",True,"(0.02792993, 0.02442587, -0.09982176)",True,"(0.42294630, -0.01446205, 0.90603930)","(431.34330000, 407.35420000, 459.76650000)",True,0.00204236,True
0.058319,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981413736,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34920000, 407.35210000, 459.87270000)","(-0.11705740, 0.15743990, 0.02733192, 0.98018530)",True,"(0.18717960, -0.20307920, 0.96109010)",True,"(0.02721344, 0.01902963, -0.07716939)",True,"(0.48647560, 0.03473837, 0.87300340)","(431.34990000, 407.35270000, 459.78870000)",True,0.00280039,True
0.066651,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981422068,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34890000, 407.35040000, 459.87250000)","(-0.11743350, 0.15593900, 0.02701838, 0.98038890)",True,"(0.25056460, -0.15417480, 0.95573430)",True,"(0.02654982, 0.01394223, -0.05578368)",True,"(0.53799460, 0.08252245, 0.83889930)","(431.35620000, 407.35100000, 459.80960000)",True,0.00352356,True
0.074982,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981430399,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34860000, 407.34860000, 459.87230000)","(-0.11780930, 0.15443790, 0.02670480, 0.98059000)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
