AdjustedTime,CombinedGazeRayWorldDirection,CombinedGazeRayWorldOrigin,CombinedGazeRayWorldValid,DeviceTimeStamp,LeftGazeDirection,LeftGazeDirectionValid,LeftGazeOrigin,LeftGazeOriginValid,LeftGazeRayWorldDirection,LeftGazeRayWorldOrigin,LeftGazeRayWorldValid,LeftPupilDiameter,LeftPupilDiameterValid,OriginalLeftGazeDirection,OriginalLeftGazeDirectionValid,OriginalLeftGazeOriginPositionInHMD,OriginalLeftGazeOriginPositionInHMDValid,OriginalLeftPupilDiameter,OriginalLeftPupilDiameterValid,OriginalLeftPupilPositionInTrackingArea,OriginalLeftPupilPositionInTrackingAreaValid,OriginalRightGazeDirection,OriginalRightGazeDirectionValid,OriginalRightGazeOriginPositionInHMD,OriginalRightGazeOriginPositionInHMDValid,OriginalRightPupilDiameter,OriginalRightPupilDiameterValid,OriginalRightPupilPositionInTrackingArea,OriginalRightPupilPositionInTrackingAreaValid,Pose_Position,Pose_Rotation,Pose_Valid,RightGazeDirection,RightGazeDirectionValid,RightGazeOrigin,RightGazeOriginValid,RightGazeRayWorldDirection,RightGazeRayWorldOrigin,RightGazeRayWorldValid,RightPupilDiameter,RightPupilDiameterValid,SystemTimeStamp
0.0,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,30934558,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67481750, 1.81947100, -9.95873000)","(-0.00821463, 0.99817040, -0.03387247, -0.04940642)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960240607
0.00833,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,30942888,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67480180, 1.81946100, -9.95873900)","(-0.00821081, 0.99817140, -0.03384438, -0.04940708)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960248937
0.016662,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,30951220,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67480370, 1.81945100, -9.95873200)","(-0.00821173, 0.99817230, -0.03383592, -0.04939480)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960257269
0.024993,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,30959551,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67480550, 1.81944100, -9.95872400)","(-0.00821265, 0.99817320, -0.03382747, -0.04938253)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960265600
0.033325,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,30967883,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67480740, 1.81943100, -9.95871500)","(-0.00821357, 0.99817410, -0.03381900, -0.04937025)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960273932
0.041656,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,30976214,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67480920, 1.81942200, -9.95870800)","(-0.00821449, 0.99817500, -0.03381054, -0.04935798)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960282263
0.049988,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,30984546,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67481110, 1.81941200, -9.95870000)","(-0.00821541, 0.99817590, -0.03380209, -0.04934570)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960290595
0.058319,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,30992877,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67480720, 1.81940600, -9.95869200)","(-0.00821781, 0.99817620, -0.03379912, -0.04934105)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960298926
0.066651,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,31001209,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67478280, 1.81941300, -9.95868300)","(-0.00822555, 0.99817440, -0.03381588, -0.04936381)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960307258
0.074982,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,31009540,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67475840, 1.81942000, -9.95867300)","(-0.00823329, 0.99817260, -0.03383263, -0.04938655)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960315589
0.083314,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,31017872,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67473400, 1.81942800, -9.95866500)","(-0.00824103, 0.99817090, -0.03384938, -0.04940931)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960323921
0.091646,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,31026204,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67470960, 1.81943500, -9.95865600)","(-0.00824877, 0.99816910, -0.03386614, -0.04943206)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960332253
0.099977,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,31034535,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67468520, 1.81944200, -9.95864800)","(-0.00825651, 0.99816730, -0.03388290, -0.04945481)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960340584
0.108309,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,31042867,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67466080, 1.81944900, -9.95865200)","(-0.00824853, 0.99816930, -0.03384684, -0.04944119)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960348916
0.11664,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,31051198,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67463640, 1.81945600, -9.95865700)","(-0.00823923, 0.99817160, -0.03380634, -0.04942452)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960357247
0.124972,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,31059530,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67461200, 1.81946400, -9.95866300)","(-0.00822993, 0.99817390, -0.03376583, -0.04940784)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960365579
0.133303,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,31067861,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67458760, 1.81947100, -9.95866900)","(-0.00822063, 0.99817610, -0.03372533, -0.04939117)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960373910
0.141635,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,31076193,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67456630, 1.81948400, -9.95867300)","(-0.00821036, 0.99817750, -0.03370830, -0.04937659)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960382242
0.149966,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,31084524,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67455070, 1.81950700, -9.95867700)","(-0.00819833, 0.99817720, -0.03373460, -0.04936588)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960390573
0.158298,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,31092856,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67453510, 1.81953000, -9.95868100)","(-0.00818628, 0.99817700, -0.03376091, -0.04935518)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960398905
0.166629,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,31101187,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0.67451950, 1.81955400, -9.95868500)","(-0.00817425, 0.99817680, -0.03378721, -0.04934447)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,975960407236
