AdjustedTime,CombinedGazeRayWorldDirection,CombinedGazeRayWorldOrigin,CombinedGazeRayWorldValid,DeviceTimeStamp,LeftGazeDirection,LeftGazeDirectionValid,LeftGazeOrigin,LeftGazeOriginValid,LeftGazeRayWorldDirection,LeftGazeRayWorldOrigin,LeftGazeRayWorldValid,LeftPupilDiameter,LeftPupilDiameterValid,OriginalLeftGazeDirection,OriginalLeftGazeDirectionValid,OriginalLeftGazeOriginPositionInHMD,OriginalLeftGazeOriginPositionInHMDValid,OriginalLeftPupilDiameter,OriginalLeftPupilDiameterValid,OriginalLeftPupilPositionInTrackingArea,OriginalLeftPupilPositionInTrackingAreaValid,OriginalRightGazeDirection,OriginalRightGazeDirectionValid,OriginalRightGazeOriginPositionInHMD,OriginalRightGazeOriginPositionInHMDValid,OriginalRightPupilDiameter,OriginalRightPupilDiameterValid,OriginalRightPupilPositionInTrackingArea,OriginalRightPupilPositionInTrackingAreaValid,Pose_Position,Pose_Rotation,Pose_Valid,RightGazeDirection,RightGazeDirectionValid,RightGazeOrigin,RightGazeOriginValid,RightGazeRayWorldDirection,RightGazeRayWorldOrigin,RightGazeRayWorldValid,RightPupilDiameter,RightPupilDiameterValid,SystemTimeStamp
0.0,"(-0.09445171, -0.16022530, 0.98255120)","(-0.00353796, 0.00799532, -0.02045052)",True,2704559695,"(-0.07310486, -0.15748600, 0.98480220)",True,"(-0.03808830, 0.00984961, -0.03610762)",True,"(-0.07310553, -0.15748740, 0.98481130)","(-0.03808830, 0.00984961, -0.02110762)",True,0.00401045,True,"(0.07310486, -0.15748600, 0.98480220)",Valid,"(38.08830000, 9.84960900, -36.10762000)",Valid,4.01045200,Valid,"(0.40453190, 0.32883900)",Valid,"(0.11575320, -0.16288760, 0.97982790)",Valid,"(-31.01237000, 6.14102200, -34.79343000)",Valid,4.01147500,Valid,"(0.37570270, 0.45425670)",Valid,"(0.00000000, 0.00000000, 0.01500000)","(0.00000000, 0.00000000, 0.00000000, 1.00000000)",True,"(-0.11575320, -0.16288760, 0.97982790)",True,"(0.03101237, 0.00614102, -0.03479343)",True,"(-0.11575350, -0.16288810, 0.97983090)","(0.03101237, 0.00614102, -0.01979342)",True,0.00401148,True,784848332119
0.008332,"(-0.09290153, -0.15405750, 0.98368470)","(-0.00352913, 0.00799292, -0.02040688)",True,2704568027,"(-0.07438660, -0.14422610, 0.98674010)",True,"(-0.03808125, 0.00984161, -0.03603880)",True,"(-0.07438695, -0.14422680, 0.98674480)","(-0.03808125, 0.00984161, -0.02103880)",True,0.00399570,True,"(0.07438660, -0.14422610, 0.98674010)",Valid,"(38.08125000, 9.84161400, -36.03880000)",Valid,3.99569700,Valid,"(0.40460050, 0.32599690)",Valid,"(0.11137390, -0.16381840, 0.98017880)",Valid,"(-31.02299000, 6.14422600, -34.77495000)",Valid,4.06184400,Valid,"(0.37687080, 0.45413770)",Valid,"(0.00000000, 0.00000000, 0.01500000)","(0.00000000, 0.00000000, 0.00000000, 1.00000000)",True,"(-0.11137390, -0.16381840, 0.98017880)",True,"(0.03102300, 0.00614423, -0.03477495)",True,"(-0.11137440, -0.16381910, 0.98018320)","(0.03102300, 0.00614423, -0.01977495)",True,0.00406184,True,784848340451
0.016663,"(-0.09167682, -0.15730200, 0.98328610)","(-0.00352567, 0.00802345, -0.02049827)",True,2704576358,"(-0.07608032, -0.14752200, 0.98611450)",True,"(-0.03808032, 0.00987062, -0.03613693)",True,"(-0.07608136, -0.14752400, 0.98612800)","(-0.03808032, 0.00987062, -0.02113693)",True,0.00398483,True,"(0.07608032, -0.14752200, 0.98611450)",Valid,"(38.08032000, 9.87062100, -36.13693000)",Valid,3.98483300,Valid,"(0.40424670, 0.32638190)",Valid,"(0.10723880, -0.16702270, 0.98008730)",Valid,"(-31.02899000, 6.17627000, -34.85960000)",Valid,3.93121300,Valid,"(0.37775860, 0.45434650)",Valid,"(0.00000000, 0.00000000, 0.01500000)","(0.00000000, 0.00000000, 0.00000000, 1.00000000)",True,"(-0.10723880, -0.16702270, 0.98008730)",True,"(0.03102899, 0.00617627, -0.03485961)",True,"(-0.10724050, -0.16702540, 0.98010310)","(0.03102899, 0.00617627, -0.01985960)",True,0.00393121,True,784848348782
0.024995,"(-0.09395665, -0.15254030, 0.98382090)","(-0.00351630, 0.00806036, -0.02060353)",True,2704584690,"(-0.08343506, -0.14578250, 0.98577880)",True,"(-0.03807133, 0.00990743, -0.03623938)",True,"(-0.08343615, -0.14578440, 0.98579170)","(-0.03807133, 0.00990743, -0.02123938)",True,0.00396260,True,"(0.08343506, -0.14578250, 0.98577880)",Valid,"(38.07133000, 9.90742500, -36.23938000)",Valid,3.96260100,Valid,"(0.40314670, 0.32553530)",Valid,"(0.10446170, -0.15927120, 0.98168950)",Valid,"(-31.03873000, 6.21330300, -34.96768000)",Valid,3.97500600,Valid,"(0.37854380, 0.45258910)",Valid,"(0.00000000, 0.00000000, 0.01500000)","(0.00000000, 0.00000000, 0.00000000, 1.00000000)",True,"(-0.10446170, -0.15927120, 0.98168950)",True,"(0.03103873, 0.00621330, -0.03496768)",True,"(-0.10446200, -0.15927170, 0.98169260)","(0.03103873, 0.00621330, -0.01996768)",True,0.00397501,True,784848357114
0.033326,"(-0.09542690, -0.15897620, 0.98265980)","(-0.00349022, 0.00803006, -0.02033641)",True,2704593021,"(-0.08714294, -0.15295410, 0.98437500)",True,"(-0.03804115, 0.00981493, -0.03569713)",True,"(-0.08714369, -0.15295540, 0.98438340)","(-0.03804115, 0.00981493, -0.02069713)",True,0.00398065,True,"(0.08714294, -0.15295410, 0.98437500)",Valid,"(38.04115000, 9.81492600, -35.69713000)",Valid,3.98065200,Valid,"(0.40404900, 0.32581660)",Valid,"(0.10369870, -0.16497800, 0.98081970)",Valid,"(-31.06071000, 6.24519300, -34.97569000)",Valid,4.04954500,Valid,"(0.37945970, 0.45260650)",Valid,"(0.00000000, 0.00000000, 0.01500000)","(0.00000000, 0.00000000, 0.00000000, 1.00000000)",True,"(-0.10369870, -0.16497800, 0.98081970)",True,"(0.03106071, 0.00624519, -0.03497569)",True,"(-0.10369980, -0.16497980, 0.98083030)","(0.03106071, 0.00624519, -0.01997569)",True,0.00404955,True,784848365445
0.041658,"(-0.08590939, -0.15886900, 0.98355490)","(-0.00348984, 0.00810705, -0.02052347)",True,2704601353,"(-0.06962585, -0.14758300, 0.98658750)",True,"(-0.03807539, 0.00990860, -0.03595126)",True,"(-0.06962643, -0.14758420, 0.98659570)","(-0.03807539, 0.00990860, -0.02095126)",True,0.00400838,True,"(0.06962585, -0.14758300, 0.98658750)",Valid,"(38.07539000, 9.90860000, -35.95126000)",Valid,4.00837700,Valid,"(0.40571880, 0.32337940)",Valid,"(0.10215760, -0.17008970, 0.98011780)",Valid,"(-31.09572000, 6.30549600, -35.09569000)",Valid,4.13104200,Valid,"(0.38090760, 0.45251540)",Valid,"(0.00000000, 0.00000000, 0.01500000)","(0.00000000, 0.00000000, 0.00000000, 1.00000000)",True,"(-0.10215760, -0.17008970, 0.98011780)",True,"(0.03109572, 0.00630550, -0.03509569)",True,"(-0.10215770, -0.17008990, 0.98011900)","(0.03109572, 0.00630550, -0.02009569)",True,0.00413104,True,784848373777
0.049989,"(-0.09794681, -0.15934290, 0.98235240)","(-0.00345432, 0.00814856, -0.02046757)",True,2704609684,"(-0.08479309, -0.14772030, 0.98538210)",True,"(-0.03808620, 0.00996988, -0.03592888)",True,"(-0.08479355, -0.14772110, 0.98538750)","(-0.03808620, 0.00996988, -0.02092888)",True,0.00403735,True,"(0.08479309, -0.14772030, 0.98538210)",Valid,"(38.08620000, 9.96987900, -35.92888000)",Valid,4.03735400,Valid,"(0.40255510, 0.32082610)",Valid,"(0.11106870, -0.17091370, 0.97900390)",Valid,"(-31.17757000, 6.32724000, -35.00627000)",Valid,4.04745500,Valid,"(0.38232670, 0.45115290)",Valid,"(0.00000000, 0.00000000, 0.01500000)","(0.00000000, 0.00000000, 0.00000000, 1.00000000)",True,"(-0.11106870, -0.17091370, 0.97900390)",True,"(0.03117757, 0.00632724, -0.03500627)",True,"(-0.11106890, -0.17091400, 0.97900560)","(0.03117757, 0.00632724, -0.02000627)",True,0.00404746,True,784848382108
0.058321,"(-0.09847965, -0.16314080, 0.98167560)","(-0.00341990, 0.00833167, -0.02119597)",True,2704618016,"(-0.08538818, -0.15286250, 0.98454280)",True,"(-0.03806911, 0.01030132, -0.03735089)",True,"(-0.08538892, -0.15286390, 0.98455140)","(-0.03806911, 0.01030132, -0.02235089)",True,0.00402588,True,"(0.08538818, -0.15286250, 0.98454280)",Valid,"(38.06911000, 10.30132000, -37.35089000)",Valid,4.02587900,Valid,"(0.40180140, 0.32139860)",Valid,"(0.11154170, -0.17337040, 0.97851560)",Valid,"(-31.22931000, 6.36203000, -35.04106000)",Valid,3.97972100,Valid,"(0.38407120, 0.45071560)",Valid,"(0.00000000, 0.00000000, 0.01500000)","(0.00000000, 0.00000000, 0.00000000, 1.00000000)",True,"(-0.11154170, -0.17337040, 0.97851560)",True,"(0.03122931, 0.00636203, -0.03504106)",True,"(-0.11154220, -0.17337110, 0.97851970)","(0.03122931, 0.00636203, -0.02004106)",True,0.00397972,True,784848390440
0.066652,"(-0.10021870, -0.18552620, 0.97751530)","(-0.00342525, 0.00815358, -0.02034479)",True,2704626347,"(-0.09414673, -0.20487980, 0.97424320)",True,"(-0.03811041, 0.00995470, -0.03558018)",True,"(-0.09414724, -0.20488090, 0.97424850)","(-0.03811041, 0.00995470, -0.02058018)",True,0.00378496,True,"(0.09414673, -0.20487980, 0.97424320)",Valid,"(38.11041000, 9.95469700, -35.58018000)",Valid,3.78495800,Valid,"(0.40040130, 0.32977410)",Valid,"(0.10624690, -0.16609190, 0.98036190)",Valid,"(-31.25992000, 6.35246300, -35.10941000)",Valid,3.88888500,Valid,"(0.38606220, 0.45033010)",Valid,"(0.00000000, 0.00000000, 0.01500000)","(0.00000000, 0.00000000, 0.00000000, 1.00000000)",True,"(-0.10624690, -0.16609190, 0.98036190)",True,"(0.03125992, 0.00635246, -0.03510940)",True,"(-0.10624780, -0.16609320, 0.98036960)","(0.03125992, 0.00635246, -0.02010940)",True,0.00388889,True,784848398771
0.074984,"(-0.07486293, -0.20079270, 0.97676910)","(-0.00329916, 0.00840562, -0.02116381)",True,2704634679,"(-0.05557251, -0.23918150, 0.96937560)",True,"(-0.03802347, 0.01015794, -0.03632352)",True,"(-0.05557292, -0.23918330, 0.96938280)","(-0.03802347, 0.01015794, -0.02132352)",True,0.00361990,True,"(0.05557251, -0.23918150, 0.96937560)",Valid,"(38.02347000, 10.15794000, -36.32352000)",Valid,3.61990400,Valid,"(0.40999260, 0.33550490)",Valid,"(0.09400940, -0.16201780, 0.98228450)",Valid,"(-31.42516000, 6.65329000, -36.00410000)",Valid,4.31983900,Valid,"(0.39368290, 0.44706880)",Valid,"(0.00000000, 0.00000000, 0.01500000)","(0.00000000, 0.00000000, 0.00000000, 1.00000000)",True,"(-0.09400940, -0.16201780, 0.98228450)",True,"(0.03142516, 0.00665329, -0.03600410)",True,"(-0.09401079, -0.16202020, 0.98229910)","(0.03142516, 0.00665329, -0.02100410)",True,0.00431984,True,784848407103
