AdjustedTime,CombinedGazeRayWorldDirection,CombinedGazeRayWorldOrigin,CombinedGazeRayWorldValid,GazeData_TimeStamp,LeftGazeDirection,LeftGazeDirectionValid,LeftGazeOrigin,LeftGazeOriginValid,LeftGazeRayWorldDirection,LeftGazeRayWorldOrigin,LeftGazeRayWorldValid,LeftPupilDiameter,LeftPupilDiameterValid,Pose_Position,Pose_Rotation,Pose_Valid,RightGazeDirection,RightGazeDirectionValid,RightGazeOrigin,RightGazeOriginValid,RightGazeRayWorldDirection,RightGazeRayWorldOrigin,RightGazeRayWorldValid,RightPupilDiameter,RightPupilDiameterValid
0.0,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574479689,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88110000, 407.02940000, 460.27760000)","(0.76286400, -0.11533140, 0.62717140, 0.10673970)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.008331,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574488020,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88110000, 407.02830000, 460.27760000)","(0.76282640, -0.11527850, 0.62722020, 0.10677800)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.016662,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574496351,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88110000, 407.02720000, 460.27760000)","(0.76278900, -0.11522560, 0.62726900, 0.10681630)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.024994,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574504683,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88110000, 407.02610000, 460.27750000)","(0.76275140, -0.11517270, 0.62731780, 0.10685470)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.033325,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574513014,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88100000, 407.02500000, 460.27750000)","(0.76271380, -0.11511980, 0.62736670, 0.10689300)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.041657,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574521346,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88100000, 407.02390000, 460.27740000)","(0.76267630, -0.11506690, 0.62741550, 0.10693130)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.049988,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574529677,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88100000, 407.02280000, 460.27740000)","(0.76262900, -0.11501460, 0.62747580, 0.10697160)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.05832,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574538009,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88090000, 407.02150000, 460.27730000)","(0.76247740, -0.11496840, 0.62765790, 0.10703340)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.066651,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574546340,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88080000, 407.02010000, 460.27730000)","(0.76232580, -0.11492220, 0.62783990, 0.10709520)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.074983,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574554672,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88080000, 407.01880000, 460.27720000)","(0.76217420, -0.11487590, 0.62802180, 0.10715690)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
