device_time_stamp,system_time_stamp,left_gaze_direction_unit_vector,left_gaze_direction_validity,left_gaze_origin_position_in_hmd_coordinates,left_gaze_origin_validity,left_pupil_diameter,left_pupil_validity,left_pupil_position_in_tracking_area,left_pupil_position_validity,right_gaze_direction_unit_vector,right_gaze_direction_validity,right_gaze_origin_position_in_hmd_coordinates,right_gaze_origin_validity,right_pupil_diameter,right_pupil_validity,right_pupil_position_in_tracking_area,right_pupil_position_validity
5590353970,89949800785,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.47807738184928894, 0.45942702889442444)",1,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0
5590362300,89949809115,"(-0.14208984375, -0.338775634765625, 0.9300689697265625)",1,"(34.24153137207031, 8.027603149414062, -38.14430236816406)",1,4.0224761962890625,1,"(0.4681195020675659, 0.4318941533565521)",1,"(-0.10296630859375, -0.327056884765625, 0.9393768310546875)",1,"(-28.72149658203125, 5.7177581787109375, -33.37840270996094)",1,4.308624267578125,1,"(0.4424830675125122, 0.47247084975242615)",1
5590370632,89949817447,"(-0.13995361328125, -0.3183441162109375, 0.9375762939453125)",1,"(34.24293518066406, 8.032913208007812, -38.10426330566406)",1,4.0130157470703125,1,"(0.46781569719314575, 0.4287129342556)",1,"(-0.114044189453125, -0.3134002685546875, 0.9427337646484375)",1,"(-28.729598999023438, 5.7476043701171875, -33.466033935546875)",1,4.433929443359375,1,"(0.4442442059516907, 0.47066619992256165)",1
5590378963,89949825778,"(-0.1418609619140625, -0.3210296630859375, 0.936370849609375)",1,"(34.24334716796875, 8.037139892578125, -38.11077880859375)",1,4.043609619140625,1,"(0.467997670173645, 0.4289974868297577)",1,"(-0.11749267578125, -0.3099822998046875, 0.9434356689453125)",1,"(-28.730209350585938, 5.75360107421875, -33.484588623046875)",1,4.37152099609375,1,"(0.44469162821769714, 0.47019562125205994)",1
5590387295,89949834110,"(-0.14361572265625, -0.31964111328125, 0.93658447265625)",1,"(34.24375915527344, 8.041366577148438, -38.116973876953125)",1,4.0738372802734375,1,"(0.4681640565395355, 0.4287129342556)",1,"(-0.114471435546875, -0.3109130859375, 0.943511962890625)",1,"(-28.729721069335938, 5.7595977783203125, -33.50315856933594)",1,4.3235015869140625,1,"(0.4442442059516907, 0.47027722001075745)",1
5590395626,89949842441,"(-0.1427154541015625, -0.3160247802734375, 0.9379425048828125)",1,"(34.24510192871094, 8.041610717773438, -38.111541748046875)",1,4.0778656005859375,1,"(0.46798989176750183, 0.4281381368637085)",1,"(-0.1144256591796875, -0.3125152587890625, 0.9429931640625)",1,"(-28.729660034179688, 5.76446533203125, -33.519012451171875)",1,4.33380126953125,1,"(0.4442392587661743, 0.47047173976898193)",1
5590403958,89949850773,"(-0.144378662109375, -0.319732666015625, 0.936431884765625)",1,"(34.24644470214844, 8.0418701171875, -38.116973876953125)",1,4.0740814208984375,1,"(0.4681640565395355, 0.4287129342556)",1,"(-0.1143798828125, -0.311370849609375, 0.9433746337890625)",1,"(-28.729598999023438, 5.76934814453125, -33.53486633300781)",1,4.3436737060546875,1,"(0.4442344009876251, 0.47027722001075745)",1
5590412289,89949859104,"(-0.143646240234375, -0.32086181640625, 0.9361572265625)",1,"(34.24836730957031, 8.0433349609375, -38.11712646484375)",1,4.0781402587890625,1,"(0.46798989176750183, 0.42880934476852417)",1,"(-0.114105224609375, -0.30926513671875, 0.944091796875)",1,"(-28.72784423828125, 5.786041259765625, -33.60205078125)",1,4.351806640625,1,"(0.44413337111473083, 0.47000110149383545)",1
5590420621,89949867436,"(-0.142913818359375, -0.3206024169921875, 0.9363555908203125)",1,"(34.25030517578125, 8.0447998046875, -38.117279052734375)",1,4.0819091796875,1,"(0.46781569719314575, 0.4287129342556)",1,"(-0.1154022216796875, -0.3071136474609375, 0.94464111328125)",1,"(-28.72607421875, 5.8027496337890625, -33.66923522949219)",1,4.3485107421875,1,"(0.4442344009876251, 0.46972501277923584)",1
5590428953,89949875768,"(-0.1409454345703125, -0.318939208984375, 0.937225341796875)",1,"(34.251373291015625, 8.050003051757812, -38.140625)",1,4.09259033203125,1,"(0.4674912989139557, 0.42848119139671326)",1,"(-0.1141815185546875, -0.3092803955078125, 0.9440765380859375)",1,"(-28.72784423828125, 5.80633544921875, -33.6807861328125)",1,4.353485107421875,1,"(0.44413337111473083, 0.47000110149383545)",1
5590437284,89949884099,"(-0.1389923095703125, -0.320526123046875, 0.936981201171875)",1,"(34.25242614746094, 8.055191040039062, -38.163970947265625)",1,4.1030731201171875,1,"(0.467166930437088, 0.4287129342556)",1,"(-0.1138916015625, -0.3113861083984375, 0.94342041015625)",1,"(-28.72607421875, 5.8099365234375, -33.69233703613281)",1,4.358642578125,1,"(0.4440324008464813, 0.47027722001075745)",1
5590445616,89949892431,"(-0.1391754150390625, -0.318817138671875, 0.937530517578125)",1,"(34.2529296875, 8.060394287109375, -38.186920166015625)",1,4.11517333984375,1,"(0.4671441614627838, 0.42848119139671326)",1,"(-0.1138763427734375, -0.3081207275390625, 0.9445037841796875)",1,"(-28.725250244140625, 5.8093719482421875, -33.711456298828125)",1,4.3684234619140625,1,"(0.4440058767795563, 0.47000110149383545)",1
5590453947,89949900762,"(-0.1393585205078125, -0.316986083984375, 0.9381256103515625)",1,"(34.25341796875, 8.065597534179688, -38.20985412597656)",1,4.1271209716796875,1,"(0.4671213626861572, 0.42824944853782654)",1,"(-0.113983154296875, -0.3090057373046875, 0.9441986083984375)",1,"(-28.724411010742188, 5.8099365234375, -33.73057556152344)",1,4.3574676513671875,1,"(0.4439793527126312, 0.47027722001075745)",1
5590462279,89949909094,"(-0.1436004638671875, -0.3134918212890625, 0.93865966796875)",1,"(34.23292541503906, 8.128646850585938, -38.33799743652344)",1,4.1614837646484375,1,"(0.46834152936935425, 0.42661240696907043)",1,"(-0.118682861328125, -0.3077392578125, 0.94403076171875)",1,"(-28.744415283203125, 5.7940521240234375, -33.60247802734375)",1,4.38604736328125,1,"(0.44535061717033386, 0.469531774520874)",1
5590470610,89949917425,"(-0.149383544921875, -0.3280181884765625, 0.932769775390625)",1,"(34.16908264160156, 8.298049926757812, -38.815216064453125)",1,4.048736572265625,1,"(0.47150367498397827, 0.4269038140773773)",1,"(-0.1151123046875, -0.31005859375, 0.9437103271484375)",1,"(-28.77410888671875, 5.843841552734375, -33.630218505859375)",1,4.3983001708984375,1,"(0.44594237208366394, 0.4683353304862976)",1
5590478942,89949925757,"(-0.1605987548828125, -0.3220672607421875, 0.9329833984375)",1,"(34.155517578125, 8.348236083984375, -38.94422912597656)",1,4.0753021240234375,1,"(0.4734145402908325, 0.4254593551158905)",1,"(-0.119354248046875, -0.3095703125, 0.9433441162109375)",1,"(-28.779754638671875, 5.878936767578125, -33.69999694824219)",1,4.433380126953125,1,"(0.4467228055000305, 0.46768662333488464)",1
5590487273,89949934088,"(-0.1617431640625, -0.3101348876953125, 0.9368133544921875)",1,"(34.16658020019531, 8.2935791015625, -38.686920166015625)",1,4.1152801513671875,1,"(0.4731709957122803, 0.42341482639312744)",1,"(-0.11761474609375, -0.3045501708984375, 0.9451904296875)",1,"(-28.780380249023438, 5.9000091552734375, -33.792144775390625)",1,4.324249267578125,1,"(0.446450799703598, 0.467097669839859)",1
5590495605,89949942420,"(-0.160491943359375, -0.316558837890625, 0.9348907470703125)",1,"(34.162445068359375, 8.32513427734375, -38.829254150390625)",1,4.1011199951171875,1,"(0.4731364846229553, 0.42446276545524597)",1,"(-0.1212005615234375, -0.3032379150390625, 0.945159912109375)",1,"(-28.78399658203125, 5.907470703125, -33.81068420410156)",1,4.3307952880859375,1,"(0.44705894589424133, 0.46684372425079346)",1
5590503936,89949950751,"(-0.1592254638671875, -0.323211669921875, 0.9328155517578125)",1,"(34.1583251953125, 8.356704711914062, -38.96759033203125)",1,4.087127685546875,1,"(0.47310197353363037, 0.4255107045173645)",1,"(-0.124755859375, -0.3078765869140625, 0.943206787109375)",1,"(-28.787612915039062, 5.9149322509765625, -33.792144775390625)",1,4.3383331298828125,1,"(0.44766709208488464, 0.467097669839859)",1
5590512268,89949959083,"(-0.1563568115234375, -0.3257904052734375, 0.932403564453125)",1,"(34.1566162109375, 8.358306884765625, -38.96958923339844)",1,4.0352783203125,1,"(0.4728705585002899, 0.42583054304122925)",1,"(-0.1226959228515625, -0.3076934814453125, 0.9435272216796875)",1,"(-28.792892456054688, 5.916015625, -33.791595458984375)",1,4.3599395751953125,1,"(0.4475921392440796, 0.46700286865234375)",1
5590520599,89949967414,"(-0.15496826171875, -0.3240203857421875, 0.933258056640625)",1,"(34.1549072265625, 8.359893798828125, -38.97157287597656)",1,4.0858001708984375,1,"(0.4726625680923462, 0.4255107045173645)",1,"(-0.1219482421875, -0.30718994140625, 0.94378662109375)",1,"(-28.798171997070312, 5.917083740234375, -33.792144775390625)",1,4.3376617431640625,1,"(0.44766709208488464, 0.4669080972671509)",1
5590528931,89949975746,"(-0.1547698974609375, -0.3175201416015625, 0.935516357421875)",1,"(34.15409851074219, 8.362289428710938, -38.96958923339844)",1,4.094970703125,1,"(0.4726509153842926, 0.42446276545524597)",1,"(-0.120941162109375, -0.3062896728515625, 0.9442138671875)",1,"(-28.801681518554688, 5.921051025390625, -33.80706787109375)",1,4.3590545654296875,1,"(0.44766858220100403, 0.4667489230632782)",1
5590537262,89949984077,"(-0.1547393798828125, -0.3255767822265625, 0.9327545166015625)",1,"(34.15330505371094, 8.36468505859375, -38.96759033203125)",1,4.10479736328125,1,"(0.4726625680923462, 0.4255107045173645)",1,"(-0.1199493408203125, -0.3060302734375, 0.944427490234375)",1,"(-28.805206298828125, 5.9250030517578125, -33.821990966796875)",1,4.3805084228515625,1,"(0.4476700723171234, 0.4666992127895355)",1
